Year,Adult Mortality,infant deaths,Alcohol,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Diphtheria , HIV/AIDS,Population,Life expectancy 
2005,382,92,5.04,,258,17.7,148,39,38,2.6,19552542,47.4
2004,386,94,3.53,,29,17.2,152,4,4,2.5,18865716,47.1
2003,388,95,3.49,,1196,16.8,155,4,4,2.4,1823369,46.8
2002,391,96,2.82,,11945,16.3,157,37,41,2.3,17572649,46.5
2001,44,97,2.58,,9046,15.8,159,41,38,2.1,16983266,45.7
2000,48,97,1.85,,2219,15.4,160,3,28,2,1644924,45.3
2015,13,0,,99,0,47.7,0,86,99,0.2,,76.4
2014,131,0,8.56,99,0,47,0,96,99,0.2,,76.2
2013,133,0,8.58,99,0,46.4,0,98,99,0.2,,76.1
2012,134,0,8.18,98,0,45.7,0,97,98,0.2,,75.9
2011,136,0,7.84,99,0,45.1,0,99,99,0.1,,75.7
2010,138,0,7.84,98,0,44.4,0,99,98,0.1,,75.6
2009,14,0,7.82,98,0,43.8,0,98,99,0.1,,75.4
2008,142,0,8.27,98,0,43.2,0,99,99,0.1,,75.2
2007,144,0,8.64,97,0,42.6,0,98,99,0.1,,75
2006,145,0,8.93,99,0,42,0,99,99,0.1,,74.8
2005,147,0,8.15,99,0,41.4,0,98,99,0.1,,74.6
2004,149,0,7.28,97,0,4.8,0,97,97,0.1,,74.4
2003,151,0,7.16,99,0,4.1,0,99,99,0.1,,74.2
2002,153,0,7.21,99,0,39.5,0,93,98,0.1,,74
2001,154,0,7.51,96,0,38.9,0,99,97,0.1,,73.8
2000,156,0,7.27,,0,38.2,0,96,95,0.1,,73.6
2015,116,8,,94,0,62.8,9,93,94,0.1,43417765,76.3
2014,118,8,7.93,94,1,62.2,9,92,94,0.1,42981515,76.2
2013,119,8,8.28,94,0,61.6,10,99,94,0.1,42539925,76
2012,12,9,8.35,91,2,61,10,99,91,0.1,4296739,75.9
2011,12,9,8.11,91,3,6.4,10,93,91,0.1,41656879,75.7
2010,121,10,8.15,94,17,59.8,11,95,94,0.1,41223889,75.5
2009,126,10,8.33,94,3,59.2,11,97,94,0.1,479947,75.6
2008,126,10,8.41,9,0,58.6,11,94,93,0.1,4382389,75.4
2007,129,10,8.16,85,0,58,12,92,91,0.1,3997224,74.8
2006,127,11,7.75,84,0,57.5,12,92,91,0.1,3955889,75.2
2005,127,11,7.53,88,0,56.9,12,95,98,0.1,39145488,74.9
2004,13,11,7.63,81,0,56.3,12,91,98,0.1,38728696,74.7
2003,137,11,7.62,73,0,55.7,13,95,96,0.1,3839379,74.1
2002,138,12,7.81,66,0,55.1,13,94,93,0.1,3788937,74.1
2001,138,12,7.76,,0,54.6,13,85,83,0.1,3747159,74
2000,137,12,7.68,,6,54,14,88,83,0.1,3757452,74.1
2015,118,1,,94,33,54.9,1,96,94,0.1,291695,74.8
2014,12,1,3.91,93,13,54.1,1,95,93,0.1,29622,74.6
2013,123,1,3.79,95,10,53.3,1,96,95,0.1,289359,74.4
2012,121,1,3.89,95,0,52.6,1,96,95,0.1,2881922,74.4
2011,128,1,4.09,95,0,51.9,1,96,95,0.1,2875581,73.9
2010,132,1,4.23,94,2,51.2,1,96,94,0.1,2877311,73.5
2009,137,1,3.96,93,0,5.7,1,94,93,0.1,2888584,73.3
2008,14,1,3.96,89,0,5.1,1,91,89,0.1,29822,73.2
2007,132,1,3.99,85,1,49.7,1,9,88,0.1,293356,73.5
2006,141,1,4.01,78,137,49.2,1,87,87,0.1,29585,72.9
2005,137,1,4.25,91,2281,48.8,1,92,9,0.1,2981259,73
2004,132,1,3.81,91,1783,48.4,1,93,91,0.1,3612,73
2003,134,1,3.03,93,4,48.1,1,96,94,0.1,31786,72.7
2002,134,1,2.86,91,40,47.8,1,96,94,0.1,333897,72.6
2001,141,1,2.86,69,69,47.4,1,97,94,0.1,35655,72.6
2000,142,1,2.9,55,15,47.1,1,96,93,0.1,369588,72
2015,59,1,,93,74,66.6,1,93,93,0.1,23789338,82.8
2014,6,1,9.71,91,340,66.1,1,92,92,0.1,2346694,82.7
2013,61,1,9.87,91,158,65.5,1,91,91,0.1,23117353,82.5
2012,61,1,10.03,91,199,65,1,92,92,0.1,22728254,82.3
2011,63,1,10.3,92,190,64.4,1,92,92,0.1,223424,82
2010,64,1,10.52,92,70,63.9,1,92,92,0.1,223175,81.9
2009,66,1,10.62,94,104,63.4,1,92,92,0.1,216917,81.7
2008,66,1,10.76,94,65,62.9,1,92,92,0.1,212492,81.3
2007,66,1,10.56,94,11,62.5,2,92,92,0.1,28276,81.3
2006,66,1,10.31,95,0,62,2,92,92,0.1,26979,81.2
2005,67,1,10.3,95,10,61.5,2,92,92,0.1,23948,81
2004,69,1,9.84,95,70,6.9,1,92,92,0.1,21274,86
2003,71,1,9.97,95,91,6.3,1,92,93,0.1,198954,83
2002,73,1,9.84,95,32,59.6,2,92,92,0.1,196514,79.9
2001,75,1,9.53,94,141,59,2,91,92,0.1,19413,79.9
2000,78,1,10.17,,108,58.2,2,9,9,0.1,19153,79.5
2015,65,0,,93,309,57.6,0,93,93,0.1,8633169,81.5
2014,66,0,12.32,98,117,57.1,0,98,98,0.1,8541575,81.4
2013,68,0,11.82,95,0,56.6,0,95,95,0.1,8479375,81.1
2012,7,0,12.26,92,36,56.1,0,92,92,0.1,8429991,88
2011,73,0,12.04,89,68,55.7,0,89,89,0.1,8391643,88
2010,75,0,12.1,86,52,55.2,0,86,86,0.1,836344,84
2009,77,0,11.3,83,49,54.7,0,83,83,0.1,8343323,82
2008,76,0,12,83,448,54.2,0,83,83,0.1,8321496,84
2007,8,0,12.5,85,20,53.7,0,85,85,0.1,8295487,81
2006,81,0,12.4,83,23,53.2,0,83,83,0.1,8268641,79.8
2005,85,0,12.4,86,9,52.7,0,86,86,0.1,8227829,79.4
2004,86,0,12.1,83,15,52.2,0,83,83,0.1,8171966,79.3
2003,88,0,12.2,83,90,51.7,0,84,84,0.1,8121423,78.8
2002,9,0,12.5,81,0,51.2,0,82,83,0.1,881957,78.7
2001,92,0,12.4,44,0,5.6,0,83,84,0.1,842293,78.6
2000,96,0,13.2,33,0,5.1,0,71,81,0.1,811566,78.1
2015,118,5,,96,0,52.5,6,98,96,0.1,9649341,72.7
2014,119,5,0.01,94,0,51.5,6,97,94,0.1,953579,72.5
2013,121,5,2.14,93,164,5.6,6,96,93,0.1,941681,72.2
2012,123,5,0.01,88,0,49.7,6,92,89,0.1,9295784,71.9
2011,125,5,1.98,84,0,48.8,6,91,87,0.1,917382,71.6
2010,13,5,1.98,8,0,48,6,85,81,0.1,954332,71.1
2009,132,6,2.1,74,0,47.3,6,84,81,0.1,8947243,78
2008,141,6,1.18,68,5,46.6,6,85,81,0.1,87634,73
2007,14,6,1.02,62,0,45.9,7,81,79,0.1,85813,73
2006,154,6,0.85,52,222,45.3,7,8,78,0.1,848455,69.2
2005,162,6,0.73,49,1238,44.7,7,79,75,0.1,839185,68.4
2004,154,6,0.62,5,827,44.2,8,78,77,0.1,8365,68.4
2003,154,7,0.55,51,1978,43.6,8,79,77,0.1,82341,67.8
2002,146,7,0.55,5,4353,43.1,9,8,76,0.1,817195,67.8
2001,151,8,0.51,,574,42.6,10,77,77,0.1,81112,67.5
2000,16,9,0.65,,210,42.1,11,75,76,0.1,8486,66.6
2015,147,0,,95,0,64.5,0,95,95,0.1,,76.1
2014,16,0,9.45,96,0,63.8,0,96,96,0.1,,75.4
2013,172,0,9.42,97,0,63.2,0,97,97,0.1,,74.8
2012,167,0,9.5,96,0,62.6,0,99,98,0.2,,74.9
2011,162,0,9.34,95,0,62,0,97,98,0.1,,75
2010,161,0,9.19,98,0,61.3,0,97,99,0.2,,75
2009,168,0,9.29,95,0,6.7,0,97,96,0.1,,74.6
2008,167,0,10.15,9,0,6.1,0,93,93,0.1,,74.5
2007,167,0,10.75,93,0,59.4,0,95,95,0.1,,74.4
2006,171,0,11.07,96,0,58.7,0,94,95,0.1,,74.2
2005,172,0,10.49,93,0,58.1,0,93,93,0.1,,74.1
2004,174,0,10.1,93,0,57.4,0,92,93,0.1,,73.8
2003,189,0,10.68,88,0,56.7,0,93,92,0.1,,73.2
2002,19,0,10.85,89,0,56,0,93,94,0.1,,73.1
2001,189,0,11.64,21,0,55.2,0,98,99,0.2,,72.9
2000,192,0,12.15,,0,54.4,0,91,99,0.1,,72.6
2015,69,0,,98,0,63.6,0,98,98,0.1,,76.9
2014,7,0,1.57,98,46,62.9,0,98,98,0.1,,76.8
2013,7,0,1.65,99,0,62.2,0,99,99,0.1,,76.7
2012,71,0,1.7,99,0,61.5,0,99,99,0.1,,76.5
2011,76,0,1.66,99,0,6.8,0,99,99,0.1,,76.1
2010,73,0,1.93,99,0,6.1,0,99,99,0.1,,76.1
2009,74,0,1.95,98,3,59.3,0,97,98,0.1,,76
2008,76,0,2,97,2,58.5,0,97,97,0.1,,75.8
2007,77,0,2,97,7,57.6,0,97,97,0.1,,75.6
2006,79,0,2.1,98,3,56.8,0,98,98,0.1,,75.5
2005,81,0,2.05,98,4,56.1,0,98,98,0.1,,75.3
2004,83,0,2.16,98,11,55.6,0,98,98,0.1,,75.2
2003,85,0,2.16,98,12,55.2,0,97,97,0.1,,75
2002,87,0,1.99,98,8,55,0,98,98,0.1,,74.9
2001,9,0,1.95,99,5,54.8,0,99,99,0.1,,74.7
2000,92,0,2.15,97,6,54.5,0,97,97,0.1,,74.5
2015,129,92,,97,240,18.3,113,97,97,0.1,1612886,71.8
2014,132,98,0.01,97,289,17.7,121,97,97,0.1,15945279,71.4
2013,135,104,0.01,96,237,17,130,96,96,0.1,157571292,71
2012,137,111,0.01,94,1986,16.4,139,94,94,0.1,15572753,77
2011,14,118,0.01,96,5625,15.8,150,96,96,0.1,153911916,73
2010,142,126,0.01,94,788,15.2,161,94,94,0.1,15214912,69.9
2009,144,135,0.01,97,718,14.6,173,97,97,0.1,1545478,69.5
2008,147,144,0.01,96,2660,14,186,96,96,0.1,14885814,69.1
2007,151,154,0.01,95,2924,13.5,201,96,94,0.1,147139191,68.6
2006,152,164,0.01,86,6192,13,215,95,94,0.1,1453684,68.2
2005,155,174,0.01,45,25934,12.5,231,94,93,0.1,14343111,67.8
2004,158,185,0.01,11,9743,12,247,88,99,0.1,14137489,67.3
2003,161,196,0.01,5,4067,11.6,264,9,87,0.1,139191,66.8
2002,164,207,0.01,,3484,11.2,280,83,83,0.1,1366667,66.3
2001,168,219,0.01,,4414,1.8,298,85,85,0.1,1341716,65.8
2000,173,231,0.01,,5098,1.4,316,83,82,0.1,131581243,65.3
2015,98,0,,97,0,54.5,0,97,97,0.1,,75.5
2014,1,0,8.82,94,0,53.7,0,95,94,0.1,,75.4
2013,11,0,8.74,91,0,53,0,91,91,0.1,,75.2
2012,12,0,8.61,87,0,52.2,0,88,87,0.1,,75.1
2011,14,0,8.51,91,0,51.4,0,91,91,0.1,,74.9
2010,16,0,8.41,86,0,5.7,0,9,86,0.1,,74.7
2009,19,0,8.46,93,0,49.9,0,93,93,0.1,,74.6
2008,111,0,8.95,85,0,49.2,0,85,85,0.1,,74.4
2007,113,0,8.47,93,0,48.4,0,93,93,0.1,,74.2
2006,115,0,8.39,84,0,47.7,0,85,84,0.1,,74.1
2005,117,0,8.01,92,0,46.9,0,91,92,0.1,,73.9
2004,119,0,7.68,93,0,46.2,0,93,93,0.2,,73.8
2003,121,0,7.65,91,0,45.4,0,9,89,0.4,,73.7
2002,123,0,7.59,66,0,44.6,0,86,87,0.8,,73.5
2001,125,0,7.38,18,0,43.8,0,93,84,0.7,,73.4
2000,127,0,7.43,,0,43,0,86,93,0.9,,73.3
2015,196,0,,99,2,62.3,0,99,99,0.1,9489616,72.3
2014,199,0,13.94,97,64,61.7,0,97,97,0.1,9474511,72
2013,23,0,14.66,98,16,61.1,1,98,98,0.1,9465997,71.7
2012,194,0,16.35,97,10,6.5,1,98,98,0.1,9464495,71.9
2011,232,0,17.31,98,50,59.9,1,98,98,0.1,9473172,72
2010,222,0,14.44,96,1,59.3,1,99,98,0.1,949583,73
2009,226,0,14.09,98,0,58.7,1,98,96,0.1,956765,70
2008,224,1,14.67,98,0,58.2,1,98,97,0.1,9527985,70
2007,226,1,14.22,91,1,57.7,1,9,95,0.1,956953,69.8
2006,243,1,12.6,98,149,57.2,1,97,99,0.1,964924,68.9
2005,252,1,11.01,99,1,56.7,1,98,99,0.1,9663915,68.1
2004,247,1,12.05,99,2,56.2,1,99,99,0.1,973146,68.2
2003,253,1,11.17,56,21,55.8,1,53,5,0.1,9796749,67.7
2002,262,1,12.23,99,14,55.3,1,99,99,0.1,9865548,67.2
2001,254,1,10.74,93,45,54.9,1,99,99,0.1,9928549,67.7
2000,247,1,12.98,7,21,54.4,1,99,99,0.1,997961,68
2015,74,0,,98,47,63.7,1,99,99,0.1,11274196,81.1
2014,76,0,12.6,98,70,63.4,1,99,99,0.1,112957,89
2013,77,0,11.77,98,39,63,1,99,99,0.1,11182817,87
2012,78,0,10.08,98,109,62.6,1,99,99,0.1,11128246,83
2011,8,0,10.11,97,576,62.3,1,98,98,0.1,1147744,83
2010,81,0,10.22,97,40,61.9,1,98,98,0.1,1895586,80
2009,85,0,10.05,97,33,61.6,1,98,98,0.1,1796493,79.8
2008,87,0,10.47,98,98,61.3,1,99,99,0.1,179973,79.5
2007,86,0,10.25,94,64,6.9,1,99,98,0.1,16257,79.5
2006,85,0,10.98,94,15,6.6,1,99,98,0.1,1547958,79.4
2005,89,0,12.27,77,26,6.2,1,97,97,0.1,1478617,78.9
2004,91,1,12.05,64,61,59.8,1,96,95,0.1,1421137,78.8
2003,95,0,11.28,64,44,59.4,1,96,95,0.1,1376133,78.3
2002,99,1,11.29,6,0,59,1,96,95,0.1,1332785,78
2001,1,1,11.01,6,83,58.5,1,96,95,0.1,128657,78
2000,11,1,11.21,6,0,58.1,1,96,95,0.1,125125,77.6
2015,175,0,,94,0,5.9,0,94,94,0.2,359288,71
2014,177,0,6.58,95,0,5.1,0,95,95,0.2,351694,70
2013,18,0,6.56,95,0,49.3,0,95,95,0.2,344181,69.8
2012,189,0,6.66,98,0,48.5,0,98,98,0.1,33671,69.4
2011,188,0,6.64,95,0,47.8,0,95,95,0.5,329192,69.4
2010,186,0,6.76,96,0,47,0,96,96,0.2,32168,69.5
2009,184,0,6.85,97,0,46.3,0,98,97,0.3,313929,69.5
2008,181,0,7.22,94,0,45.7,0,94,94,0.1,36165,69.6
2007,181,0,7.24,96,0,45,0,97,96,0.6,29847,69.6
2006,184,0,6.48,98,0,44.4,0,98,98,0.6,29747,69.4
2005,191,0,6.25,96,0,43.8,0,96,96,0.8,283277,69
2004,197,0,6.2,97,0,43.2,0,97,97,0.8,27689,68.7
2003,21,0,5.67,96,0,42.6,0,95,96,1.5,26913,68.4
2002,199,0,4.99,97,0,42,0,93,89,0.1,26226,68.5
2001,21,0,4.9,96,0,41.4,0,96,96,0.4,254984,68.2
2000,196,0,4.79,76,0,4.8,0,91,91,0.3,247315,68.3
2015,249,25,,82,55,25.7,39,78,82,1,1575952,60
2014,252,25,0.01,78,786,25.2,39,74,78,1.1,1286712,59.7
2013,251,25,0.01,77,637,24.6,39,73,77,1.2,14451,59.5
2012,251,25,0.01,8,288,24.1,39,8,8,1.3,972916,59.3
2011,251,25,1.4,75,426,23.5,39,77,75,1.4,94682,59.1
2010,254,25,1.33,76,392,23,39,77,76,1.4,9199259,58.7
2009,259,25,1.16,79,1461,22.5,39,8,79,1.6,894476,58.4
2008,278,25,1.28,75,928,22,39,77,75,1.8,8696916,57.6
2007,283,25,1.12,82,341,21.5,39,82,82,2,8454791,57.1
2006,284,25,1.19,74,176,21,39,76,74,2,8216896,56.8
2005,285,25,1.13,7,210,2.5,39,73,7,2.1,7982225,56.5
2004,285,25,1.15,75,262,2.1,39,74,72,2.1,7754,56.1
2003,285,25,1.35,73,217,19.7,40,75,73,2.1,752555,55.8
2002,283,25,1.23,15,1588,19.2,40,76,75,2.1,7295394,55.6
2001,281,25,1.29,,5859,18.8,40,77,76,2.1,776733,55.5
2000,279,25,1.34,,4244,18.4,40,78,78,2,6865951,55.4
2015,211,0,,99,11,24.5,0,98,99,0.5,787386,69.8
2014,216,0,0.01,99,0,23.6,1,98,99,0.5,776448,69.4
2013,219,0,0.01,97,0,22.7,1,97,97,0.6,764961,69.1
2012,223,0,0.01,97,1,21.9,1,97,97,0.6,752967,68.7
2011,225,0,0.23,95,10,21.1,1,95,95,0.5,7451,68.3
2010,228,1,0.28,91,21,2.3,1,92,91,0.5,727641,67.9
2009,232,1,0.17,93,6,19.5,1,93,93,0.4,714458,67.4
2008,234,1,0.21,96,7,18.8,1,96,96,0.4,795,67
2007,238,1,0.16,95,11,18,1,93,95,0.3,686958,66.5
2006,245,1,0.29,95,2,17.4,1,96,95,0.3,672228,65.8
2005,254,1,0.73,95,11,16.7,1,95,95,0.3,656639,65
2004,263,1,0.96,89,3,16.1,1,9,89,0.3,64282,64.2
2003,273,1,0.52,95,0,15.5,1,96,95,0.2,623434,63.3
2002,282,1,0.29,83,27,14.9,1,89,86,0.1,66399,62.5
2001,29,1,0.14,89,756,14.4,1,88,88,0.1,5896,61.7
2000,312,1,0.17,98,418,13.9,1,98,92,0.1,573416,62
2015,186,8,,99,0,52.6,10,99,99,0.1,,77
2014,189,8,3.62,98,0,51.9,10,99,98,0.1,,74
2013,192,8,3.78,94,0,51.2,10,95,94,0.1,,71
2012,194,8,3.89,93,0,5.6,11,93,93,0.1,,69.8
2011,198,9,3.93,95,0,49.9,11,95,95,0.2,,69.3
2010,22,9,3.95,91,0,49.3,12,9,91,0.2,,68.7
2009,27,10,3.87,93,0,48.6,12,92,93,0.2,,68
2008,211,10,3.77,88,0,48,13,87,88,0.2,,67.4
2007,216,11,3.47,84,0,47.3,14,85,84,0.2,,66.8
2006,219,11,3.23,83,0,46.7,15,82,83,0.2,,66.2
2005,222,12,2.86,85,0,46,16,84,85,0.2,,65.7
2004,226,12,2.66,84,0,45.4,16,84,84,0.2,,65.1
2003,23,13,2.37,8,0,44.7,17,82,88,0.2,,64.5
2002,234,14,2.26,77,0,44,18,76,77,0.1,,63.9
2001,238,14,2.2,77,0,43.3,19,71,71,0.1,,63.3
2000,243,15,2.32,77,122,42.6,20,74,75,0.1,,62.6
2015,88,0,,82,1677,55.8,0,74,82,0.1,3535961,77.4
2014,89,0,4.03,89,3000,55.3,0,86,86,0.1,35662,77.2
2013,9,0,4.12,91,0,54.7,0,87,89,0.1,364999,77
2012,92,0,4.61,92,22,54.2,0,87,92,0.1,36482,76.8
2011,92,0,4.64,88,10,53.7,0,89,88,0.1,3688865,76.9
2010,94,0,4.54,89,45,53.1,0,9,89,0.1,372284,76.4
2009,97,0,4.75,9,22,52.6,0,9,9,0.1,3746561,76.1
2008,98,0,5.13,88,8,52.1,0,92,91,0.1,3763599,76
2007,16,0,5.16,94,166,51.5,0,95,95,0.1,3774,75.4
2006,1,0,4.82,9,17,51,0,91,87,0.1,3779468,75.7
2005,12,0,4.56,93,23,5.5,0,95,93,0.1,378153,75
2004,99,0,4.25,36,28,49.9,0,87,84,0.1,3781287,75.5
2003,12,0,4.14,,18,49.4,0,87,87,0.1,3779247,75.2
2002,11,0,3.84,,28,48.8,0,86,8,0.1,377587,75.4
2001,113,0,3.85,,0,48.2,0,92,91,0.1,3771284,74.9
2000,116,0,3.64,,43,47.6,0,87,85,0.1,376676,74.6
2015,256,2,,95,0,37.9,2,96,95,2.2,229197,65.7
2014,268,2,0.01,95,1,37.3,2,96,95,2.3,2168573,65.1
2013,286,2,0.01,95,1,36.8,2,96,95,2.8,212857,64.2
2012,3,2,0.01,95,7,36.2,3,96,95,4.4,289315,63.4
2011,325,2,5.76,95,8,35.7,3,96,95,5.5,251339,62.2
2010,349,2,5.99,95,853,35.2,3,96,95,6.2,214866,61.1
2009,393,2,5.01,94,184,34.7,3,96,96,9,1979882,59.2
2008,427,2,6.56,94,0,34.2,3,96,96,12.7,1946351,57.5
2007,436,2,6.21,93,1,33.7,3,96,96,13.4,1914414,56.9
2006,491,2,6.45,93,6,33.2,3,96,96,14.4,1884238,54.8
2005,566,2,6.37,92,5,32.7,3,96,96,20.6,1855852,51.7
2004,652,2,4.9,91,1,32.2,4,96,96,28.4,182933,48.1
2003,693,2,5.51,9,59,31.6,4,96,96,31.9,184339,46.4
2002,699,2,6.41,88,7,31.1,4,97,97,34.6,1779953,46
2001,679,2,5.48,87,1,3.5,4,97,97,37.2,1754935,46.7
2000,647,2,5.37,86,2672,29.9,4,97,97,38.8,172834,47.8
2015,142,42,,96,214,56.1,47,98,96,0.1,2596218,75
2014,144,44,7.32,96,876,55.3,49,96,93,0.1,24213133,74.8
2013,146,46,7.24,96,220,54.5,52,96,97,0.1,2248632,74.7
2012,148,49,7.55,96,2,53.6,54,96,95,0.1,256983,74.5
2011,152,51,7.58,98,43,52.8,57,98,99,0.1,198686688,74.1
2010,154,54,7.52,96,68,52,61,99,99,0.1,196796269,73.8
2009,157,57,7.33,99,0,51.1,64,99,99,0.1,194895996,73.6
2008,158,61,7.21,96,0,5.3,68,99,99,0.1,19297929,73.4
2007,159,65,7.19,99,0,49.4,73,99,99,0.1,19126637,73.3
2006,161,70,7.1,99,57,48.6,79,99,99,0.1,18912412,73
2005,163,75,6.97,98,6,47.8,85,99,99,0.1,186917361,72.7
2004,17,81,6.85,96,0,46.9,93,99,99,0.1,184738458,72
2003,172,88,6.95,97,2,46.1,100,99,99,0.1,182482149,71.8
2002,176,95,7,92,1,45.3,109,99,99,0.1,1815121,71.4
2001,179,103,7.13,91,1,44.5,118,99,98,0.1,1777567,71
2000,183,111,7.26,94,36,43.7,127,99,98,0.1,175287587,75
2015,78,0,,99,4,41.2,0,99,99,0.1,,77.7
2014,8,0,0.01,99,1,4.2,0,99,99,0.1,,77.6
2013,84,0,0.01,98,0,39.2,0,99,99,0.1,,77.1
2012,79,0,0.01,99,1,38.2,0,99,99,0.1,,78.3
2011,79,0,0.97,93,4,37.2,0,99,97,0.1,,77.4
2010,79,0,0.88,96,0,36.2,0,99,95,0.1,,76.9
2009,88,0,0.25,96,2,35.2,0,99,99,0.1,,76.8
2008,84,0,0.67,96,3,34.2,0,97,98,0.1,,77.2
2007,1,0,0.85,97,0,33.2,0,95,99,0.1,,76
2006,93,0,0.67,99,0,32.2,0,94,97,0.1,,76.3
2005,92,0,0.16,99,9,31.2,0,93,94,0.1,,76.2
2004,89,0,0.11,99,16,3.1,0,92,92,0.1,,76.4
2003,89,0,0.12,99,24,29.1,0,99,92,0.1,,76
2002,95,0,0.13,99,0,28,0,99,94,0.1,,74.8
2001,19,0,0.47,99,11,27,0,99,97,0.1,,74.7
2000,16,0,0.37,99,42,26.1,0,99,99,0.1,,74.4
2015,137,0,,92,0,65.7,1,91,91,0.1,7177991,74.5
2014,138,1,12.03,95,0,65.1,1,88,88,0.1,7223938,74.3
2013,14,1,12.06,95,14,64.5,1,95,95,0.1,7265115,74.1
2012,139,1,10.99,95,1,63.9,1,95,95,0.1,735888,73.9
2011,144,1,10.67,96,157,63.3,1,95,95,0.1,7348328,73.7
2010,147,1,10.8,95,22004,62.7,1,94,94,0.1,7395599,73.4
2009,152,1,10.93,96,2249,62.1,1,94,94,0.1,7444443,73.2
2008,155,1,10.98,96,1,61.5,1,96,95,0.1,7492561,72.9
2007,157,1,10.89,95,1,6.9,1,95,95,0.1,7545338,72.6
